DATE,DEXUSEU
1/5/00,1.01786
1/12/00,1.02946
1/19/00,1.01585
1/26/00,1.00608
2/2/00,0.97822
2/9/00,0.98412
2/16/00,0.98342
2/23/00,0.99475
3/1/00,0.97412
3/8/00,0.95952
3/15/00,0.96662
3/22/00,0.9685
3/29/00,0.96396
4/5/00,0.95926
4/12/00,0.958
4/19/00,0.94968
4/26/00,0.93266
5/3/00,0.90502
5/10/00,0.8986
5/17/00,0.90426
5/24/00,0.90124
5/31/00,0.9256
6/7/00,0.9476
6/14/00,0.95654
6/21/00,0.95624
6/28/00,0.94052
7/5/00,0.95335
7/12/00,0.9486
7/19/00,0.93246
7/26/00,0.93506
8/2/00,0.92416
8/9/00,0.90464
8/16/00,0.90876
8/23/00,0.90358
8/30/00,0.89888
9/6/00,0.886225
9/13/00,0.86528
9/20/00,0.85376
9/27/00,0.87418
10/4/00,0.87872
10/11/00,0.86905
10/18/00,0.85198
10/25/00,0.83608
11/1/00,0.84358
11/8/00,0.85868
11/15/00,0.85898
11/22/00,0.8483
11/29/00,0.85015
12/6/00,0.8803
12/13/00,0.8806
12/20/00,0.89456
12/27/00,0.92345
1/3/01,0.939575
1/10/01,0.94506
1/17/01,0.94215
1/24/01,0.9366
1/31/01,0.9237
2/7/01,0.93542
2/14/01,0.92278
2/21/01,0.9098
2/28/01,0.91194
3/7/01,0.93014
3/14/01,0.92354
3/21/01,0.89968
3/28/01,0.89108
4/4/01,0.88736
4/11/01,0.89464
4/18/01,0.88604
4/25/01,0.89638
5/2/01,0.89342
5/9/01,0.88868
5/16/01,0.87858
5/23/01,0.87238
5/30/01,0.85675
6/6/01,0.84624
6/13/01,0.84902
6/20/01,0.858
6/27/01,0.85938
7/4/01,0.8469
7/11/01,0.8496
7/18/01,0.85712
7/25/01,0.87256
8/1/01,0.87618
8/8/01,0.88022
8/15/01,0.89896
8/22/01,0.91478
8/29/01,0.91158
9/5/01,0.900225
9/12/01,0.9011
9/19/01,0.92058
9/26/01,0.91884
10/3/01,0.91538
10/10/01,0.914425
10/17/01,0.90644
10/24/01,0.89472
10/31/01,0.89952
11/7/01,0.90036
11/14/01,0.887125
11/21/01,0.88112
11/28/01,0.8814
12/5/01,0.88976
12/12/01,0.89108
12/19/01,0.90152
12/26/01,0.884675
1/2/02,0.889925
1/9/02,0.89352
1/16/02,0.89024
1/23/02,0.88295
1/30/02,0.86666
2/6/02,0.86514
2/13/02,0.87386
2/20/02,0.8728
2/27/02,0.87012
3/6/02,0.86972
3/13/02,0.87688
3/20/02,0.88212
3/27/02,0.87776
4/3/02,0.8764
4/10/02,0.87842
4/17/02,0.88276
4/24/02,0.8896
5/1/02,0.901
5/8/02,0.91038
5/15/02,0.90814
5/22/02,0.9196
5/29/02,0.926275
6/5/02,0.93834
6/12/02,0.9454
6/19/02,0.94714
6/26/02,0.97308
7/3/02,0.9858
7/10/02,0.985675
7/17/02,1.00136
7/24/02,1.00398
7/31/02,0.98666
8/7/02,0.97898
8/14/02,0.97598
8/21/02,0.98004
8/28/02,0.97576
9/4/02,0.987925
9/11/02,0.98094
9/18/02,0.97402
9/25/02,0.9818
10/2/02,0.98214
10/9/02,0.98344
10/16/02,0.983725
10/23/02,0.97424
10/30/02,0.98076
11/6/02,0.99546
11/13/02,1.0099
11/20/02,1.0066
11/27/02,0.9939
12/4/02,0.99565
12/11/02,1.00628
12/18/02,1.02292
12/25/02,1.025175
1/1/03,1.04285
1/8/03,1.04228
1/15/03,1.05368
1/22/03,1.065875
1/29/03,1.08248
2/5/03,1.07986
2/12/03,1.07664
2/19/03,1.077125
2/26/03,1.0794
3/5/03,1.08454
3/12/03,1.10248
3/19/03,1.0683
3/26/03,1.06304
4/2/03,1.08078
4/9/03,1.06948
4/16/03,1.08
4/23/03,1.09122
4/30/03,1.10536
5/7/03,1.12806
5/14/03,1.1501
5/21/03,1.16154
5/28/03,1.177025
6/4/03,1.1751
6/11/03,1.17516
6/18/03,1.17924
6/25/03,1.15864
7/2/03,1.14916
7/9/03,1.1355
7/16/03,1.12868
7/23/03,1.13116
7/30/03,1.14568
8/6/03,1.13052
8/13/03,1.13362
8/20/03,1.11726
8/27/03,1.09076
9/3/03,1.089975
9/10/03,1.10962
9/17/03,1.12404
9/24/03,1.14026
10/1/03,1.15804
10/8/03,1.17216
10/15/03,1.172075
10/22/03,1.16894
10/29/03,1.17504
11/5/03,1.15454
11/12/03,1.1521
11/19/03,1.18
11/26/03,1.18558
12/3/03,1.2032
12/10/03,1.2179
12/17/03,1.22894
12/24/03,1.24082
12/31/03,1.2511
1/7/04,1.267725
1/14/04,1.27776
1/21/04,1.2546
1/28/04,1.26284
2/4/04,1.2476
2/11/04,1.27028
2/18/04,1.28045
2/25/04,1.26024
3/3/04,1.23232
3/10/04,1.23302
3/17/04,1.22338
3/24/04,1.23106
3/31/04,1.21794
4/7/04,1.2147
4/14/04,1.20242
4/21/04,1.19442
4/28/04,1.18542
5/5/04,1.20196
5/12/04,1.19076
5/19/04,1.1934
5/26/04,1.20244
6/2/04,1.223775
6/9/04,1.22306
6/16/04,1.20678
6/23/04,1.209
6/30/04,1.21622
7/7/04,1.228475
7/14/04,1.23748
7/21/04,1.23684
7/28/04,1.21264
8/4/04,1.20488
8/11/04,1.22222
8/18/04,1.23078
8/25/04,1.22154
9/1/04,1.2104
9/8/04,1.211825
9/15/04,1.22268
9/22/04,1.2205
9/29/04,1.2295
10/6/04,1.2341
10/13/04,1.232375
10/20/04,1.25066
10/27/04,1.27054
11/3/04,1.27472
11/10/04,1.29224
11/17/04,1.298175
11/24/04,1.30682
12/1/04,1.328525
12/8/04,1.33556
12/15/04,1.33032
12/22/04,1.3349
12/29/04,1.35682
1/5/05,1.34448
1/12/05,1.316
1/19/05,1.3098
1/26/05,1.30168
2/2/05,1.30292
2/9/05,1.28478
2/16/05,1.29414
2/23/05,1.3149
3/2/05,1.3198
3/9/05,1.32606
3/16/05,1.33916
3/23/05,1.32128
3/30/05,1.2929
4/6/05,1.28826
4/13/05,1.29162
4/20/05,1.29796
4/27/05,1.30094
5/4/05,1.29034
5/11/05,1.28574
5/18/05,1.2657
5/25/05,1.25892
6/1/05,1.24165
6/8/05,1.22716
6/15/05,1.21044
6/22/05,1.21466
6/29/05,1.20946
7/6/05,1.19725
7/13/05,1.20436
7/20/05,1.205
7/27/05,1.20602
8/3/05,1.21982
8/10/05,1.23526
8/17/05,1.23712
8/24/05,1.22024
8/31/05,1.22834
9/7/05,1.247675
9/14/05,1.23332
9/21/05,1.21936
9/28/05,1.20586
10/5/05,1.19788
10/12/05,1.207575
10/19/05,1.19956
10/26/05,1.20238
11/2/05,1.20594
11/9/05,1.1823
11/16/05,1.16935
11/23/05,1.17434
11/30/05,1.1776
12/7/05,1.17388
12/14/05,1.1918
12/21/05,1.19274
12/28/05,1.186775
1/4/06,1.193975
1/11/06,1.21022
1/18/06,1.20735
1/25/06,1.22052
2/1/06,1.214
2/8/06,1.20002
2/15/06,1.19134
2/22/06,1.190125
3/1/06,1.18978
3/8/06,1.1967
3/15/06,1.19636
3/22/06,1.2138
3/29/06,1.20282
4/5/06,1.2185
4/12/06,1.21296
4/19/06,1.22198
4/26/06,1.2383
5/3/06,1.26078
5/10/06,1.27366
5/17/06,1.28216
5/24/06,1.27972
5/31/06,1.280425
6/7/06,1.28632
6/14/06,1.26152
6/21/06,1.26098
6/28/06,1.25558
7/5/06,1.2708
7/12/06,1.2758
7/19/06,1.25806
7/26/06,1.26314
8/2/06,1.2764
8/9/06,1.28534
8/16/06,1.27818
8/23/06,1.28384
8/30/06,1.27808
9/6/06,1.280575
9/13/06,1.2706
9/20/06,1.26878
9/27/06,1.27318
10/4/06,1.27084
10/11/06,1.259375
10/18/06,1.25274
10/25/06,1.25814
11/1/06,1.2731
11/8/06,1.27562
11/15/06,1.28252
11/22/06,1.28386
11/29/06,1.312725
12/6/06,1.33076
12/13/06,1.32364
12/20/06,1.31438
12/27/06,1.314075
1/3/07,1.32025
1/10/07,1.30114
1/17/07,1.2924
1/24/07,1.29712
1/31/07,1.29578
2/7/07,1.29806
2/14/07,1.30302
2/21/07,1.313425
2/28/07,1.31866
3/7/07,1.3141
3/14/07,1.31718
3/21/07,1.32902
3/28/07,1.3337
4/4/07,1.33622
4/11/07,1.3409
4/18/07,1.3539
4/25/07,1.3611
5/2/07,1.36146
5/9/07,1.357
5/16/07,1.354
5/23/07,1.34816
5/30/07,1.344575
6/6/07,1.34798
6/13/07,1.33588
6/20/07,1.33838
6/27/07,1.34376
7/4/07,1.3557
7/11/07,1.36624
7/18/07,1.37878
7/25/07,1.37988
8/1/07,1.36902
8/8/07,1.37644
8/15/07,1.36142
8/22/07,1.3476
8/29/07,1.36302
9/5/07,1.3641
9/12/07,1.38008
9/19/07,1.38824
9/26/07,1.41016
10/3/07,1.41768
10/10/07,1.4137
10/17/07,1.4197
10/24/07,1.42354
10/31/07,1.43972
11/7/07,1.45214
11/14/07,1.4656
11/21/07,1.4713
11/28/07,1.48166
12/5/07,1.47072
12/12/07,1.4684
12/19/07,1.44258
12/26/07,1.440575
1/2/08,1.4665
1/9/08,1.47172
1/16/08,1.47778
1/23/08,1.462225
1/30/08,1.47496
2/6/08,1.47618
2/13/08,1.45334
2/20/08,1.46785
2/27/08,1.48962
3/5/08,1.52092
3/12/08,1.53764
3/19/08,1.56758
3/26/08,1.55228
4/2/08,1.5719
4/9/08,1.57248
4/16/08,1.58292
4/23/08,1.5891
4/30/08,1.56244
5/7/08,1.54596
5/14/08,1.54736
5/21/08,1.56076
5/28/08,1.57115
6/4/08,1.55088
6/11/08,1.56088
6/18/08,1.54558
6/25/08,1.55562
7/2/08,1.57764
7/9/08,1.568775
7/16/08,1.58706
7/23/08,1.58224
7/30/08,1.56476
8/6/08,1.55204
8/13/08,1.50292
8/20/08,1.47456
8/27/08,1.47644
9/3/08,1.459125
9/10/08,1.41904
9/17/08,1.41312
9/24/08,1.4571
10/1/08,1.43518
10/8/08,1.37014
10/15/08,1.35855
10/22/08,1.32258
10/29/08,1.2658
11/5/08,1.28622
11/12/08,1.271275
11/19/08,1.26536
11/26/08,1.27608
12/3/08,1.268025
12/10/08,1.28794
12/17/08,1.3695
12/24/08,1.4011
12/31/08,1.40745
1/7/09,1.367125
1/14/09,1.33856
1/21/09,1.30385
1/28/09,1.3066
2/4/09,1.28934
2/11/09,1.2927
2/18/09,1.270475
2/25/09,1.2717
3/4/09,1.26324
3/11/09,1.26802
3/18/09,1.29538
3/25/09,1.35856
4/1/09,1.32992
4/8/09,1.33676
4/15/09,1.3221
4/22/09,1.3024
4/29/09,1.31692
5/6/09,1.33128
5/13/09,1.3555
5/20/09,1.36046
5/27/09,1.393125
6/3/09,1.4146
6/10/09,1.40116
6/17/09,1.3929
6/24/09,1.39744
7/1/09,1.40546
7/8/09,1.39528
7/15/09,1.40024
7/22/09,1.41724
7/29/09,1.41878
8/5/09,1.43104
8/12/09,1.42072
8/19/09,1.41848
8/26/09,1.4288
9/2/09,1.4293
9/9/09,1.44065
9/16/09,1.46164
9/23/09,1.47356
9/30/09,1.46422
10/7/09,1.46376
10/14/09,1.48075
10/21/09,1.4939
10/28/09,1.49114
11/4/09,1.47792
11/11/09,1.491275
11/18/09,1.49096
11/25/09,1.4953
12/2/09,1.5029
12/9/09,1.48504
12/16/09,1.46106
12/23/09,1.43002
12/30/09,1.435775
1/6/10,1.438925
1/13/10,1.44444
1/20/10,1.430425
1/27/10,1.41044
2/3/10,1.39258
2/10/10,1.37166
2/17/10,1.36575
2/24/10,1.35608
3/3/10,1.35894
3/10/10,1.36072
3/17/10,1.37152
3/24/10,1.35092
3/31/10,1.34284
4/7/10,1.34568
4/14/10,1.35346
4/21/10,1.34628
4/28/10,1.32708
5/5/10,1.3131
5/12/10,1.27256
5/19/10,1.23864
5/26/10,1.23708
6/2/10,1.230275
6/9/10,1.2038
6/16/10,1.2223
6/23/10,1.23446
6/30/10,1.22828
7/7/10,1.257025
7/14/10,1.26738
7/21/10,1.28996
7/28/10,1.29482
8/4/10,1.31408
8/11/10,1.31348
8/18/10,1.28466
8/25/10,1.27028
9/1/10,1.2737
9/8/10,1.278975
9/15/10,1.28702
9/22/10,1.3144
9/29/10,1.35032
10/6/10,1.37602
10/13/10,1.39135
10/20/10,1.39636
10/27/10,1.39048
11/3/10,1.39502
11/10/10,1.39554
11/17/10,1.359675
11/24/10,1.35244
12/1/10,1.313
12/8/10,1.3287
12/15/10,1.33076
12/22/10,1.3141
12/29/10,1.3138
1/5/11,1.327925
1/12/11,1.2992
1/19/11,1.33965
1/26/11,1.36018
2/2/11,1.37164
2/9/11,1.3634
2/16/11,1.35344
2/23/11,1.3676
3/2/11,1.38052
3/9/11,1.39448
3/16/11,1.39104
3/23/11,1.41364
3/30/11,1.41266
4/6/11,1.42364
4/13/11,1.4422
4/20/11,1.439
4/27/11,1.4598
5/4/11,1.4842
5/11/11,1.44012
5/18/11,1.42028
5/25/11,1.413
6/1/11,1.42955
6/8/11,1.45824
6/15/11,1.43922
6/22/11,1.43206
6/29/11,1.42866
7/6/11,1.44575
7/13/11,1.4163
7/20/11,1.41448
7/27/11,1.43926
8/3/11,1.4289
8/10/11,1.41984
8/17/11,1.43556
8/24/11,1.4389
8/31/11,1.44388
9/7/11,1.413575
9/14/11,1.37276
9/21/11,1.37396
9/28/11,1.35428
10/5/11,1.33982
10/12/11,1.35955
10/19/11,1.3771
10/26/11,1.38452
11/2/11,1.39524
11/9/11,1.3726
11/16/11,1.35635
11/23/11,1.3483
11/30/11,1.33435
12/7/11,1.34238
12/14/11,1.31892
12/21/11,1.30342
12/28/11,1.302125
1/4/12,1.2979
1/11/12,1.27438
1/18/12,1.276625
1/25/12,1.29804
2/1/12,1.31398
2/8/12,1.318
2/15/12,1.31862
2/22/12,1.319125
2/29/12,1.33984
3/7/12,1.32022
3/14/12,1.31278
3/21/12,1.3179
3/28/12,1.32842
4/4/12,1.32774
4/11/12,1.30824
4/18/12,1.3113
4/25/12,1.3178
5/2/12,1.32178
5/9/12,1.30518
5/16/12,1.28484
5/23/12,1.27006
5/30/12,1.24985
6/6/12,1.24502
6/13/12,1.25254
6/20/12,1.26428
6/27/12,1.25078
7/4/12,1.257625
7/11/12,1.2293
7/18/12,1.22386
7/25/12,1.21506
8/1/12,1.23028
8/8/12,1.23494
8/15/12,1.23064
8/22/12,1.23916
8/29/12,1.25464
9/5/12,1.2561
9/12/12,1.27938
9/19/12,1.3059
9/26/12,1.29288
10/3/12,1.2898
10/10/12,1.2956
10/17/12,1.29986
10/24/12,1.30216
10/31/12,1.29478
11/7/12,1.28304
11/14/12,1.272775
11/21/12,1.27868
11/28/12,1.2947
12/5/12,1.30374
12/12/12,1.2974
12/19/12,1.31728
12/26/12,1.319925
1/2/13,1.320725
1/9/13,1.30804
1/16/13,1.33178
1/23/13,1.331775
1/30/13,1.34682
2/6/13,1.358
2/13/13,1.3412
2/20/13,1.335825
2/27/13,1.314
3/6/13,1.30144
3/13/13,1.30152
3/20/13,1.29688
3/27/13,1.2889
4/3/13,1.28396
4/10/13,1.30082
4/17/13,1.3098
4/24/13,1.30394
5/1/13,1.30956
5/8/13,1.31014
5/15/13,1.29734
5/22/13,1.2871
5/29/13,1.29195
6/5/13,1.30582
6/12/13,1.32712
6/19/13,1.33592
6/26/13,1.31008
7/3/13,1.30216
7/10/13,1.28285
7/17/13,1.30742
7/24/13,1.31706
7/31/13,1.32626
8/7/13,1.32734
8/14/13,1.3309
8/21/13,1.33452
8/28/13,1.33672
9/4/13,1.32
9/11/13,1.32214
9/18/13,1.33298
9/25/13,1.3519
10/2/13,1.35364
10/9/13,1.35776
10/16/13,1.35195
10/23/13,1.37186
10/30/13,1.37862
11/6/13,1.35196
11/13/13,1.340775
11/20/13,1.34896
11/27/13,1.35274
12/4/13,1.357925
12/11/13,1.37286
12/18/13,1.37494
12/25/13,1.3679
1/1/14,1.376275
1/8/14,1.36232
1/15/14,1.36376
1/22/14,1.3565
1/29/14,1.36728
2/5/14,1.35196
2/12/14,1.36216
2/19/14,1.371975
2/26/14,1.37146
3/5/14,1.37516
3/12/14,1.38734
3/19/14,1.39202
3/26/14,1.37828
4/2/14,1.37694
4/9/14,1.3755
4/16/14,1.3848
4/23/14,1.38112
4/30/14,1.38376
5/7/14,1.38912
5/14/14,1.37632
5/21/14,1.3699
5/28/14,1.36235
6/4/14,1.36194
6/11/14,1.35842
6/18/14,1.35532
6/25/14,1.3605
7/2/14,1.36536
7/9/14,1.36145
7/16/14,1.35842
7/23/14,1.35002
7/30/14,1.34254
8/6/14,1.33922
8/13/14,1.33766
8/20/14,1.3346
8/27/14,1.32216
9/3/14,1.3147
9/10/14,1.29294
9/17/14,1.29552
9/24/14,1.28446
10/1/14,1.26766
10/8/14,1.26176
10/15/14,1.268925
10/22/14,1.27464
10/29/14,1.27108
11/5/14,1.25362
11/12/14,1.242925
11/19/14,1.24998
11/26/14,1.24644
12/3/14,1.24055
12/10/14,1.23736
12/17/14,1.24522
12/24/14,1.22292
12/31/14,1.215133333
1/7/15,1.192225
1/14/15,1.18116
1/21/15,1.15645
1/28/15,1.1339
2/4/15,1.1363
2/11/15,1.13388
2/18/15,1.138875
2/25/15,1.1356
3/4/15,1.11762
3/11/15,1.0798
3/18/15,1.05924
3/25/15,1.0847
4/1/15,1.08274
4/8/15,1.0908
4/15/15,1.06238
4/22/15,1.07544
4/29/15,1.09448
5/6/15,1.1204
5/13/15,1.12556
5/20/15,1.1276
5/27/15,1.098075
6/3/15,1.10472
6/10/15,1.12404
6/17/15,1.12524
6/24/15,1.1297
7/1/15,1.1154
7/8/15,1.10475
7/15/15,1.1035
7/22/15,1.08814
7/29/15,1.1029
8/5/15,1.0945
8/12/15,1.10228
8/19/15,1.10842
8/26/15,1.13872
9/2/15,1.1222
9/9/15,1.1142
9/16/15,1.12942
9/23/15,1.12334
9/30/15,1.12176
10/7/15,1.12382
10/14/15,1.1366
10/21/15,1.13604
10/28/15,1.1065
11/4/15,1.09676
11/11/15,1.0767
11/18/15,1.0694
11/25/15,1.06552
12/2/15,1.058775
12/9/15,1.08972
12/16/15,1.09646
12/23/15,1.08848
12/30/15,1.09415
1/6/16,1.079175
1/13/16,1.08644
1/20/16,1.091
1/27/16,1.08384
2/3/16,1.09262
2/10/16,1.12044
2/17/16,1.121925
2/24/16,1.10548
3/2/16,1.09036
3/9/16,1.10024
3/16/16,1.11272
3/23/16,1.1254
3/30/16,1.12142
4/6/16,1.1393
4/13/16,1.1376
4/20/16,1.13168
4/27/16,1.12908
5/4/16,1.14552
5/11/16,1.14114
5/18/16,1.1323
5/25/16,1.11824
6/1/16,1.1156
6/8/16,1.13182
6/15/16,1.12674
6/22/16,1.1256
6/29/16,1.11388
7/6/16,1.10835
7/13/16,1.10668
7/20/16,1.1053
7/27/16,1.09872
8/3/16,1.11666
8/10/16,1.11146
8/17/16,1.12158
8/24/16,1.13076
8/31/16,1.11978
9/7/16,1.120675
9/14/16,1.12426
9/21/16,1.11844
9/28/16,1.1226
10/5/16,1.122
10/12/16,1.10975
10/19/16,1.09972
10/26/16,1.08988
11/2/16,1.09922
11/9/16,1.10478
11/16/16,1.07575
11/23/16,1.06062
11/30/16,1.059375
12/7/16,1.06996
12/14/16,1.06126
12/21/16,1.0418
12/28/16,1.0437
1/4/17,1.04825
1/11/17,1.05614
1/18/17,1.0667
1/25/17,1.07155
2/1/17,1.07186
2/8/17,1.07446
2/15/17,1.0617
2/22/17,1.0595
3/1/17,1.05944
3/8/17,1.05562
3/15/17,1.06396
3/22/17,1.07688
3/29/17,1.08166
4/5/17,1.06808
4/12/17,1.06196
4/19/17,1.06656
4/26/17,1.08222
5/3/17,1.09002
5/10/17,1.09278
5/17/17,1.0996
5/24/17,1.11858
5/31/17,1.120175
6/7/17,1.12472
6/14/17,1.12164
6/21/17,1.11546
6/28/17,1.12408
7/5/17,1.13835
7/12/17,1.14084
7/19/17,1.14806
7/26/17,1.16438
8/2/17,1.17792
8/9/17,1.17788
8/16/17,1.17574
8/23/17,1.17724
8/30/17,1.192
9/6/17,1.19065
9/13/17,1.19798
9/20/17,1.19522
9/27/17,1.18572
10/4/17,1.17706
10/11/17,1.177225
10/18/17,1.18032
10/25/17,1.17884
11/1/17,1.16344
11/8/17,1.16112
11/15/17,1.17155
11/22/17,1.17684
11/29/17,1.189575
12/6/17,1.18528
12/13/17,1.1768
12/20/17,1.18126
12/27/17,1.187
1/3/18,1.20135
1/10/18,1.19912
1/17/18,1.21595
1/24/18,1.22746
1/31/18,1.2416
2/7/18,1.24016
2/14/18,1.2298
2/21/18,1.23965
2/28/18,1.2274
3/7/18,1.23344
3/14/18,1.23436
3/21/18,1.22938
3/28/18,1.23742
4/4/18,1.22916
4/11/18,1.23092
4/18/18,1.2348
4/25/18,1.22476
5/2/18,1.20526
5/9/18,1.19116
5/16/18,1.1895
5/23/18,1.17634
5/30/18,1.16525
6/6/18,1.1699
6/13/18,1.17932
6/20/18,1.1605
6/27/18,1.16374
7/4/18,1.1629
7/11/18,1.17258
7/18/18,1.16756
7/25/18,1.1675
8/1/18,1.16808
8/8/18,1.15936
8/15/18,1.14088
8/22/18,1.1473
8/29/18,1.16574
9/5/18,1.1607
9/12/18,1.16034
9/19/18,1.16786
9/26/18,1.17568
10/3/18,1.15888
10/10/18,1.150825
10/17/18,1.15702
10/24/18,1.14686
10/31/18,1.13696
11/7/18,1.14078
11/14/18,1.133525
11/21/18,1.13916
11/28/18,1.130875
12/5/18,1.13515
12/12/18,1.13616
12/19/18,1.13566
12/26/18,1.1414
1/2/19,1.14175
1/9/19,1.1449
1/16/19,1.1449
1/23/19,1.137425
1/30/19,1.14018
2/6/19,1.14304
2/13/19,1.13128
2/20/19,1.129333333
2/27/19,1.13538
3/6/19,1.13406
3/13/19,1.12538
3/20/19,1.1333
3/27/19,1.12994
4/3/19,1.12204
4/10/19,1.12478
4/17/19,1.1292
4/24/19,1.123
5/1/19,1.11814
5/8/19,1.11902
5/15/19,1.12232
5/22/19,1.11656
5/29/19,1.11705
6/5/19,1.11946
6/12/19,1.1311
6/19/19,1.12274
6/26/19,1.13562
7/3/19,1.13258